Portfolio,VWRL.L,CUKX.L,IGLT.L,AGBP.L,SLXX.L,SGLN.L,AGCP.L
equal_weight,0.013335190509864089,0.0029832276117522072,0.002714038531006312,0.0025037376616626216,0.002837089094260304,-0.002013449777031989,-0.00406796260881631
sixty_forty,0.03733853342761942,0.004176518656453087,0.002849740457556627,0.0026289245447457497,0.0019859623659822124,0.0,0.0
user_defined,0.03267121674916701,0.0020882593282265443,0.002849740457556627,0.0035052327263276695,0.0019859623659822124,-0.0009865903907456733,-0.0008542721478514251
minimum_variance,0.009727692908271295,0.0013127465000756957,0.006881920682315168,0.00701046545265534,0.0,-0.0009962688543081358,0.0
maximum_sharpe,0.03351885291068038,0.0,0.006171550561368883,0.005539519340208905,0.0,0.0,0.0
