Portfolio,Ticker,weight,marginal_volatility,component_volatility,percentage_of_total_risk
equal_weight,VWRL.L,0.14285714285714288,0.10854674761431415,0.01550667823061631,0.2021538038422968
equal_weight,CUKX.L,0.14285714285714288,0.11549955306738448,0.016499936152483498,0.2151024743515943
equal_weight,IGLT.L,0.14285714285714288,0.015257544020677943,0.002179649145811135,0.02841513567988838
equal_weight,AGBP.L,0.14285714285714288,0.014433615557353082,0.0020619450796218694,0.02688067908293094
equal_weight,SLXX.L,0.14285714285714288,0.03767552764903468,0.005382218235576383,0.07016563271964515
equal_weight,SGLN.L,0.14285714285714288,0.09968551235705621,0.01424078747957946,0.1856509379953984
equal_weight,AGCP.L,0.14285714285714288,0.14585279894887593,0.020836114135553706,0.2716313363282461
sixty_forty,VWRL.L,0.3999999999999999,0.15296282266763703,0.0611851290670548,0.6535698126405469
sixty_forty,CUKX.L,0.19999999999999996,0.14264725482459617,0.02852945096491923,0.3047470554723384
sixty_forty,IGLT.L,0.14999999999999997,0.002471973453815526,0.00037079601807232885,0.003960784062313626
sixty_forty,AGBP.L,0.14999999999999997,0.004468092557769059,0.0006702138836653587,0.007159118057856977
sixty_forty,SLXX.L,0.09999999999999998,0.028612324526454156,0.002861232452645415,0.030563229766943947
sixty_forty,SGLN.L,0.0,0.028820570897305556,0.0,0.0
sixty_forty,AGCP.L,0.0,0.06869688433885794,0.0,0.0
user_defined,VWRL.L,0.35,0.14777541263788346,0.05172139442325921,0.6609937029618694
user_defined,CUKX.L,0.1,0.12573556715073808,0.012573556715073809,0.16068866481991492
user_defined,IGLT.L,0.15,0.009728521608100803,0.0014592782412151204,0.018649414600444256
user_defined,AGBP.L,0.2,0.011118662194066225,0.002223732438813245,0.028419054735821094
user_defined,SLXX.L,0.1,0.03549832443472834,0.003549832443472834,0.04536646619585533
user_defined,SGLN.L,0.07,0.05596642016878018,0.003917649411814613,0.05006712638933047
user_defined,AGCP.L,0.03,0.09341648437860987,0.002802494531358296,0.035815570296764215
minimum_variance,VWRL.L,0.10421076582590884,0.054855034892922254,0.005716485195598379,0.11196511001019337
minimum_variance,CUKX.L,0.06286319339421058,0.05485663738929076,0.003448463405159068,0.06754282943338312
minimum_variance,IGLT.L,0.36223933994057855,0.05485559968624996,0.01987085622239179,0.3891976497463744
minimum_variance,AGBP.L,0.40000000000000013,0.04535645037903882,0.018142580151615535,0.3553470205972871
minimum_variance,SLXX.L,0.0,0.06380290594745998,0.0,0.0
minimum_variance,SGLN.L,0.07068670083930202,0.054855668808125445,0.0038775662503797944,0.07594739021276191
minimum_variance,AGCP.L,0.0,0.059693718317527254,0.0,0.0
maximum_sharpe,VWRL.L,0.35908055120222127,0.1328060637464564,0.0476880745730749,0.7410770308221685
maximum_sharpe,CUKX.L,0.0,0.08802982515699036,0.0,0.0
maximum_sharpe,IGLT.L,0.3248480337044649,0.027029262941202004,0.008780402918930433,0.1364482626492358
maximum_sharpe,AGBP.L,0.31607141509331377,0.02493489948012719,0.007881208963893336,0.12247470652859564
maximum_sharpe,SLXX.L,0.0,0.046068396308807325,0.0,0.0
maximum_sharpe,SGLN.L,0.0,0.028325182704085104,0.0,0.0
maximum_sharpe,AGCP.L,0.0,0.05746570824730663,0.0,0.0
